pdf,page,country,hs_code,description
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701,"Potatoes, fresh or chilled:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.10.00,"Potatoes, fresh or chilled Seed."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90,"Potatoes, fresh or chilled Other:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.10,"Potatoes, fresh or chilled Other Yellow (Solano) potatoes."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,"Potatoes, fresh or chilled Other Other."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5005,"Potatoes, fresh or chilled Other Other Other. In immediate containers of not over 1200 kg net weight: Certified organic."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5017,"Potatoes, fresh or chilled Other Other Other. In immediate containers of not over 1200 kg net weight: Russet or netted gem varieties."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5021,"Potatoes, fresh or chilled Other Other Other. In immediate containers of not over 1200 kg net weight: Red skin varieties."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5037,"Potatoes, fresh or chilled Other Other Other. In immediate containers of not over 1200 kg net weight: White varieties."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5041,"Potatoes, fresh or chilled Other Other Other. In immediate containers of not over 1200 kg net weight: Other."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5043,"Potatoes, fresh or chilled Other Other Other. Other: Certified organic."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5046,"Potatoes, fresh or chilled Other Other Other. Other: Russet or netted gem varieties."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5056,"Potatoes, fresh or chilled Other Other Other. Other: Red skin varieties."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5066,"Potatoes, fresh or chilled Other Other Other. Other: White varieties."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5076,"Potatoes, fresh or chilled Other Other Other. Other: Other"
