pdf,page,country,hs_code,description
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701,"Potatoes, fresh or chilled:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.10.00,Seed.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.10.00,Seed. In immediate containers of not over 45 kg net weight.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.10.00,Seed. Other.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90,Other:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.10,Other: Yellow (Solano) potatoes.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.10,Other: Yellow (Solano) potatoes. Certified organic.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.10,Other: Yellow (Solano) potatoes. Other.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,Other: Other.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,Other: Other. In immediate containers of not over 1200 kg net weight: Certified organic.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,Other: Other. In immediate containers of not over 1200 kg net weight: Russet or netted gem varieties.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,Other: Other. In immediate containers of not over 1200 kg net weight: Red skin varieties.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,Other: Other. In immediate containers of not over 1200 kg net weight: White varieties.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,Other: Other. In immediate containers of not over 1200 kg net weight: Other.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,Other: Other: Certified organic.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,Other: Other: Russet or netted gem varieties.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,Other: Other: Red skin varieties.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,Other: Other: White varieties.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,Other: Other: Other
