pdf,page,country,hs_code,description
HS Code/6 digit/0207_2022e.pdf,3,,07.10,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen."
HS Code/6 digit/0207_2022e.pdf,3,,0710.10,- Potatoes
HS Code/6 digit/0207_2022e.pdf,3,,0710.21,"- Leguminous vegetables, shelled or unshelled : Peas (Pisum sativum)"
HS Code/6 digit/0207_2022e.pdf,3,,0710.22,"- Leguminous vegetables, shelled or unshelled : Beans (Vigna spp., Phaseolus spp.)"
HS Code/6 digit/0207_2022e.pdf,3,,0710.29,"- Leguminous vegetables, shelled or unshelled : Other"
HS Code/6 digit/0207_2022e.pdf,3,,0710.30,"- Spinach, New Zealand spinach and orache spinach (garden spinach)"
HS Code/6 digit/0207_2022e.pdf,3,,0710.40,- Sweet corn
HS Code/6 digit/0207_2022e.pdf,3,,0710.80,- Other vegetables
HS Code/6 digit/0207_2022e.pdf,3,,0710.90,- Mixtures of vegetables
HS Code/6 digit/0207_2022e.pdf,3,,07.11,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption."
HS Code/6 digit/0207_2022e.pdf,3,,0711.20,- Olives
HS Code/6 digit/0207_2022e.pdf,3,,0711.40,- Cucumbers and gherkins
HS Code/6 digit/0207_2022e.pdf,3,,0711.51,-Mushrooms and truffles : Mushrooms of the genus Agaricus
HS Code/6 digit/0207_2022e.pdf,3,,0711.59,-Mushrooms and truffles : Other
HS Code/6 digit/0207_2022e.pdf,3,,0711.90,- Other vegetables; mixtures of vegetables
HS Code/6 digit/0207_2022e.pdf,3,,07.12,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared."
HS Code/6 digit/0207_2022e.pdf,3,,0712.20,- Onions
HS Code/6 digit/0207_2022e.pdf,3,,0712.31,"- Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles : Mushrooms of the genus Agaricus"
HS Code/6 digit/0207_2022e.pdf,3,,0712.32,"- Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles : Wood ears (Auricularia spp.)"
HS Code/6 digit/0207_2022e.pdf,3,,0712.33,"- Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles : Jelly fungi (Tremella spp.)"
HS Code/6 digit/0207_2022e.pdf,3,,0712.34,"- Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles : Shiitake (Lentinus edodes)"
HS Code/6 digit/0207_2022e.pdf,3,,0712.39,"- Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles : Other"
HS Code/6 digit/0207_2022e.pdf,3,,0712.90,- Other vegetables; mixtures of vegetables
HS Code/6 digit/0207_2022e.pdf,3,,07.13,"Dried leguminous vegetables, shelled, whether or not skinned or split."
HS Code/6 digit/0207_2022e.pdf,3,,0713.10,- Peas (Pisum sativum)
HS Code/6 digit/0207_2022e.pdf,3,,0713.20,- Chickpeas (garbanzos)
HS Code/6 digit/0207_2022e.pdf,3,,0713.31,"- Beans (Vigna spp., Phaseolus spp.) : Beans of the species Vigna mungo (L.) Hepper or Vigna radiata (L.) Wilczek"
HS Code/6 digit/0207_2022e.pdf,3,,0713.32,"- Beans (Vigna spp., Phaseolus spp.) : Small red (Adzuki) beans (Phaseolus or Vigna angularis)"
